mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.789509487152099,0.27427068253129444,0.12001123428344726,0.0030909997882152345,,1,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9412354374307863,0.9382675526024362,0.9438593576965671,0.9327491794059817,0.9411385816785186,0.9394500217628579,0.0037889499516202316,5
21.816007328033447,6.810915497118509,0.341754674911499,0.17343921505918153,,1,2,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.941074861572536,0.9390081949058693,0.9444535991140642,0.9331218644711484,0.9417038133082691,0.9398724666743774,0.0037974716380933097,2
44.22642846107483,0.9578618295746129,0.3454622745513916,0.06863548113040552,,1,2,500,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.9414511627906975,0.9398157253599114,0.9445889258028793,0.9336600642471828,0.9422776862683058,0.9403587128937954,0.0036861181749428284,1
16.042709732055663,6.055090955277383,0.17966008186340332,0.09902326209658074,,1,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9402735326688815,0.9388361018826135,0.9427630121816168,0.9327994763796992,0.9410074107162244,0.939135906765807,0.0034115347407039044,10
31.007717990875243,0.11235129050384764,0.17507104873657225,0.006528268617024187,,1,5,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.9404768549280177,0.9391643410852714,0.9431207087486158,0.9329937955248544,0.941738821774557,0.9394989044122631,0.0035076903486141666,4
33.05505366325379,7.182262751413133,0.28004961013793944,0.0077524862956349075,,1,5,500,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",0.940633665559247,0.9394799557032114,0.9432128460686602,0.9331666221305797,0.9419346919277124,0.9396855562778821,0.003491076328642667,3
9.760953235626221,0.1143191544858433,0.11199078559875489,0.0056886135212290195,,1,10,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.9398677740863787,0.9388562569213732,0.9427180509413068,0.9318210119042079,0.9406504573036302,0.9387827102313795,0.0037046835738748633,14
14.60238733291626,0.15408098682617646,0.16087737083435058,0.0031476816696948524,,1,10,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.9397763012181617,0.938895238095238,0.9424717607973421,0.9320490100802226,0.9406353903687721,0.9387655401119472,0.0035604114087998745,15
24.690147161483765,0.4256592781794581,0.2654586315155029,0.005746544011814226,,1,10,500,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",0.9400318936877076,0.9386826135105205,0.9427264673311184,0.9319909580665047,0.9409819298705084,0.9388827724932719,0.003688850794807749,12
10.024296188354493,0.23178876294769474,0.13491077423095704,0.019478491311129123,,2,2,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9406741971207088,0.9387339977851605,0.9430469545957917,0.9323476899065274,0.940972180677365,0.9391550040171108,0.0036680820507446576,9
15.735599565505982,0.6255703110402497,0.20774526596069337,0.04094063902817598,,2,2,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.9406035437430786,0.9390037652270211,0.9431215946843854,0.932623769330545,0.9410727746248001,0.9392850895219661,0.0035806491443003546,7
24.9500789642334,0.655746632006428,0.31442937850952146,0.03502481968031214,,2,2,500,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.940465780730897,0.9391375415282393,0.9433949058693245,0.9327181592459797,0.9413555012259611,0.9394143777200803,0.003623092414862272,6
10.36174111366272,0.20335439650628806,0.13313255310058594,0.01929308645378726,,2,5,200,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9400292358803987,0.938605980066445,0.9419370985603543,0.9321327645122279,0.9414815760191119,0.9388373310077075,0.00355037921739789,13
14.69955234527588,0.27027757298695904,0.16760492324829102,0.003962418248573014,,2,5,300,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.9397645625692138,0.9387982281284607,0.9427127353266889,0.932458033047106,0.9416852012122678,0.9390837520567474,0.003588376695513062,11
24.33748483657837,0.3612309772550913,0.2719766616821289,0.007951666060072318,,2,5,500,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",0.939837430786268,0.9393054263565891,0.9427300110741972,0.9324473975636766,0.9415770737974037,0.9391794679156268,0.003581184792126813,8
