mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__scale_pos_weight,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1502977848052978,0.0541328308768886,0.02321596145629883,0.0012098530666343216,0.8,0.01,4,300,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9064312292358803,0.9115616832779623,0.9085184939091916,0.9008469389970827,0.907095063939197,0.9068906818718627,0.0034999349381172893,70
0.9195842742919922,0.047910379672657974,0.02540163993835449,0.004776936214694749,0.8,0.01,4,300,2.7681063122923586,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 1.0}",0.9057184939091916,0.9101884828349944,0.9062686600221485,0.8982724872894894,0.9065417972283044,0.9053979842568257,0.0038959131021689547,72
1.844923496246338,0.04907464391779746,0.034616613388061525,0.0023758004865024798,0.8,0.01,4,500,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9165012181616833,0.9184578073089701,0.917460465116279,0.9108921530960115,0.9174896979832906,0.916160268333247,0.0027057666252761903,66
1.4169964790344238,0.05079708042129127,0.034206819534301755,0.0012796233334995825,0.8,0.01,4,500,2.7681063122923586,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 1.0}",0.9138744186046512,0.9178263565891472,0.9154759689922479,0.908340744935848,0.9170317074781187,0.9145098393200026,0.00336909475536537,68
1.8114909648895263,0.050555841004485125,0.03256855010986328,0.001313233311270963,0.8,0.01,6,300,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9241475083056478,0.9247590254706534,0.927473311184939,0.9172218167444165,0.9261378970192727,0.9239479117449859,0.0035542249487755836,62
1.5722317218780517,0.02651357128468177,0.03506636619567871,0.0029404546300908696,0.8,0.01,6,300,2.7681063122923586,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 1.0}",0.9234950166112957,0.9224883720930231,0.9250859357696567,0.9159597393774787,0.9243852579791607,0.9222828643661231,0.003279351286787119,63
2.992654800415039,0.08571104206934049,0.05725517272949219,0.007346445398403851,0.8,0.01,6,500,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9308651162790696,0.9294369878183831,0.9343326688815061,0.9233443100385228,0.9320399256047934,0.930003801724455,0.003695858806842813,57
2.892906665802002,0.19648110277148817,0.05797595977783203,0.006903612018112157,0.8,0.01,6,500,2.7681063122923586,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 1.0}",0.9293993355481727,0.9276704318936877,0.9324015503875969,0.9222426512133092,0.9310348724207291,0.9285497682926991,0.0035294954515074327,59
3.662570905685425,0.12011839518272947,0.05817875862121582,0.0075740064645721614,0.8,0.01,8,300,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 8, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9319915836101883,0.9327457364341085,0.936500553709856,0.9256796849415293,0.9349137218564059,0.9323662561104176,0.0037034205044204804,51
3.3368266582489015,0.11370146620391906,0.05002470016479492,0.0019025282231243776,0.8,0.01,8,300,2.7681063122923586,1.0,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 8, 'xgb__n_estimators': 300, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 1.0}",0.9308870431893688,0.9320591362126245,0.9347346622369879,0.9252711051197887,0.9339890995157752,0.9313882092549092,0.0033491387286309154,53
5.088359451293945,0.08787470932596757,0.0978358268737793,0.012030302603633913,0.8,0.01,8,500,2.7681063122923586,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 8, 'xgb__n_estimators': 500, 'xgb__scale_pos_weight': 2.7681063122923586, 'xgb__subsample': 0.8}",0.9373466223698782,0.9361497231450719,0.9415348837209304,0.9293245537417625,0.9392705033286846,0.9367252572612657,0.004125494659453806,44
